,show_id,TV Show,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Angola,Argentina,Australia,Austria,Belgium,Botswana,Brazil,Canada,China,Czech Republic,Denmark,Egypt,France,Germany,Guatemala,Hong Kong,Hungary,India,Iran,Ireland,Japan,Kazakhstan,Luxembourg,Malaysia,Mexico,Namibia,New Zealand,Norway,Pakistan,Panama,Philippines,Poland,Russia,Singapore,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,United Arab Emirates,United Kingdom,United States,Action/Adventure,Animation,Anime,Anthology,Buddy,Comedy,Crime/Mystery,Dance,Disaster,Documentary,Drama,Family,Game Show / Competition,Kids,Lifestyle,Medical,Movies,Music/Musical,Mystery,Reality,Romance,Sci-Fi/Fantasy,Series,Sports,Superhero,Survival,Talk Show,Thriller,Travel,Variety,Western
0,s0001,0,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",0,2021-11-26 00:00:00,2016-01-01 00:00:00,TV-G,23 min,2,Join Mickey and the gang as they duck the halls!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,s0002,0,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",0,2021-11-26 00:00:00,1988-01-01 00:00:00,PG,91 min,1,Santa Claus passes his magic bag to a new St. Nic.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,s0003,0,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",1,2021-11-26 00:00:00,2011-01-01 00:00:00,TV-G,23 min,3,Sid the Sloth is on Santa's naughty list.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,s0004,0,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",0,2021-11-26 00:00:00,2021-01-01 00:00:00,TV-PG,41 min,1,"This is real life, not just fantasy!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,s0005,1,The Beatles: Get Back,,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",0,2021-11-25 00:00:00,2021-01-01 00:00:00,,1 Season,2,A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,s0006,0,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",1,2021-11-24 00:00:00,2021-01-01 00:00:00,PG-13,94 min,1,An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,s0007,1,Hawkeye,,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",0,2021-11-24 00:00:00,2021-01-01 00:00:00,TV-14,1 Season,2,Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,s0008,1,Port Protection Alaska,,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",1,2021-11-24 00:00:00,2015-01-01 00:00:00,TV-14,2 Seasons,3,Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,s0009,1,Secrets of the Zoo: Tampa,,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",1,2021-11-24 00:00:00,2019-01-01 00:00:00,TV-PG,2 Seasons,2,A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,s0010,0,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",1,2021-11-19 00:00:00,2008-01-01 00:00:00,G,45 min,3,Celebrate the holiday season with all your favorite Muppets.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
