,show_id,type,country,date_added,release_year,rating,listed_in,description,added_delay,Angola,Argentina,Australia,Austria,Botswana,Canada,France,Germany,Guatemala,Hong Kong,India,Japan,Namibia,South Africa,South Korea,United Arab Emirates,United Kingdom,United States,Action/Adventure,Animation,Arts,Comedy,Crime/Mystery/Thriller,Documentary,Drama,Family,International,Music/Musical,Romance,Sci-Fi/Fantasy,Special Interest,Sports,Young Adult Audience
0,s0004,Movie,0.0,2021-11-26 00:00:00,2021-01-01 00:00:00,TV-PG,1.0,"This is real life, not just fantasy!","329 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,s0005,TV Show,0.0,2021-11-25 00:00:00,2021-01-01 00:00:00,,2.0,A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,"328 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,s0006,Movie,1.0,2021-11-24 00:00:00,2021-01-01 00:00:00,PG-13,1.0,An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,"327 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,s0007,TV Show,0.0,2021-11-24 00:00:00,2021-01-01 00:00:00,TV-14,1.0,Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,"327 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,s0009,TV Show,1.0,2021-11-24 00:00:00,2019-01-01 00:00:00,TV-PG,2.0,A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,"1058 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5,s0011,Movie,0.0,2021-11-19 00:00:00,2020-01-01 00:00:00,TV-PG,1.0,Explore the treasures and rich history of the Walt Disney Archives.,"688 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,s0012,Movie,0.0,2021-11-19 00:00:00,2020-01-01 00:00:00,TV-G,3.0,"Check out Daveed Digg's official music video ""Puppy for Hanukkah!""","688 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,s0015,Movie,0.0,2021-11-12 00:00:00,2021-01-01 00:00:00,TV-PG,1.0,"Epic, grand portrait of the land across four regions on the most extreme continent. Coming in 2022.","315 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,s0016,Movie,0.0,2021-11-12 00:00:00,2021-01-01 00:00:00,TV-G,1.0,“Baymax!” premieres on Disney+ summer 2022.,"315 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,s0017,Movie,0.0,2021-11-12 00:00:00,2021-01-01 00:00:00,TV-PG,3.0,Fun-loving sea monster Alberto whole-heartedly wants to prove himself to his stoic mentor Massimo.,"315 days, 0:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
